"#name"|"Korean Law Dic" 
"보증채무 保證債務"|"주채무와 동일한 내용을 지닌 종속한 채무로서 주채무를 담보하는 작용을 하는 것이다(민428∼448). 주채무가 없으면 보증채무는 성립할 수 없고 주채무가 소멸하면 역시 보증채무도 소멸한다(부종성). 그러므로 주채무자가 무능력자이기 때문에 그의 법정대리인이 주채무를 취소한 경우에는 보증채무도 소멸한다. 그러나 보증인이 당초에 주채무자가 무능력자라는 것을 알고 있었을 때는 보증채무는 소멸하지 않는다. 또한 채권이 양도(채권자가 바뀔 때)되어도 보증채무는 소멸되지 않지만(수반성) 채무인수(채무자가 바뀔 때)일 때는 소멸한다. 보증인이 이행해야 하는 것은 특약이 없는 한 주채무는 물론 주채무의 이자위약금, 손해배상 기타 주채무에 종속한 채무가 포함된다. 채권자가 보증인에게 청구를 할 때는 보증인은 먼저 주채무자에게 청구하라고 항변할 수 있고(최고의 항변권) 또한 보증인은 주채무자의 변제자력이 있는 사실 및 그 집행이 용이함을 증명하여 먼저 주채무자의 재산에 대하여 집행할 것을 항변할 수 있다(검색의 항변). 이 두 가지 경우에 채권자가 보증인의 항변에도 불구하고 채권자의 해태로 인하여 주채무자로부터 일부의 변제를 받지 못한 경우에는 변제를 받았을 한도에서 보증인은 주채무자가 채권자에 대하여 가지고 있는 채권으로 상계할 수 있다. 주채무자에 대해서 소멸시효의 중단 및 그 밖의 여러 가지 사유가 발생하면 그것은 보증인에 대하여도 효력이 있다. 보증인이 주채무를 변제하면 당연히 주채무자에 대하여 구상권이 있다. 보증인은 변제를 하기 전후에 채무자에게 통지를 해야 하며 이에 대한 통지를 해태하면 구상권의 제한을 받게 된다(민445). 고용되어 일하는 피용자가 장래에 만약에 부당한 행위를 하여 고용주에게 손해배상채무를 부담하는 경우를 위하여 신원보증인을 세우게 하는 것이 있다. 이것은 일종의 조건부채무의 보증이다. 이에 대하여는 신원보증법이라고 하는 특별법이 제정되여 있다."
"보직 補職"|"관과 직이 분리되어 있는 경우에 어떠한 관에 임명된 자에 대하여 구체적인 직의 담임을 명하는 행위. 군인사법은 기갑 또는 보병과 출신 장교를 여단장에 보직하는 것과 같다(군인사16 참조)."
"보충권 補充權"|"백지어음에 어음요건을 흠결하고 있는 부분을 권한있는 자가 기재하여 완전한 어음으로 만드는 권리. 백지어음이 보충됨으로써 비로소 기명날인 또는 서명자에게 청구를 할 수 있게 된다."
"보충규정 ·해석규정 補充規定· 解釋規定"|"임의규정을 그 작용면에서 보아 당사자의 의사표시가 전혀 결여되어 있는 부분을 보충하는 것을 보충규정, 당사자의 의사표시가 있는 경우에 그 불명료한 부분을 해석하는 것을 해석규정이라 한다. 전자는 [다른 의사표시가 없으면] [다른 규정이 없을 때] 적용한다는 형식으로 규정하는 일이 많고(민42·358·394·829), 후자는 [추정한다]라는 형식으로 규정되는 일이 많다(민398⑦ 등). 그러나 결코 한정되어 있지는 않다."
"보충법 補充法 [영] 해석법 [독] 解釋法"|"임의법 가운데는 당사자의 의사표시가 흠결되어 있을 경우에 이를 보충하는 효력을 가진 것이 있는데 이를 보충법이라고 하며, 이에 반하여 당사자의 의사표시가 있기는 하나 그 취지가 분명하지 않을 때에 이것을 해석하는 기준이 되는 규정을 해석법이라고 한다. 예컨대, 특별한 규정이 없는 한 사단법인의 정관은 총사원 3분의 2 이상의 동의가 없으면 변경할 수 없다고 하는 규정(민42①)은 보충법이며, 위약금은 이를 손해배상의 예정으로 추정한다는 규정(민398④)은 해석법이다. 보충법과 해석법의 구별은 때로는 분명하지 않을 경우가 많다."
"보충송달 補充送達 [독] Ersatzzustellung"|"송달을 할 장소에서 송달받을 자를 만나지 못할 때에 그 사무원·고용원 또는 동거인에게 사리를 변식하기에 족할 만한 지능을 갖춘 자에게 서류를 교부하는 방법에 의한 송달(민소172①)."
"보통거래약관 普通去來約款 [영]  standard form contract [독] allgemeine Gesch fts bedingungen"|"보통거래약관이란 계약의 일방당사자가 특정 종류의 계약을 다수의 상대방과 계속 반복하여 체결한 것에 대비하여 미리 정하여 둔 계약조항을 말한다. 보험계약, 가스·수도 등의 공급계약, 운송계약, 저축계약, 이용계약, 극장등의 입장계약, 창고임치계약, 진료계약 등에서는 계약의 내용에 관하여 개별적인 협의가 일일이 이루어지는 것이 아니고, 사업주가 미리 정해놓은 정형적 계약조항이 소비자에게 제시되고 소비자는 이를 포괄적으로 받아들임으로써 계약이 성립한다. 이러한 계약은 프랑스에서는 부합계약(contrat d'adh sion), 독일에서는 보통계약약관(allgemeine Gesch ftsbedingungen), 영미에서는 표준형식계약서(standard form contract)라고 불리고 있다. 이러한 보통거래약관에 의한 계약은 계약의 모형이 계약체결 전에 미리 정하여져 있고, 그 작성자인 당사자 일방이 상대방에 대하여 그 모형에 따른 계약체결을 요구한다는 점에서 다른 유형의 계약과 구별된다. 보통거래약관은 주로 기업에 의해 이용되지만 반드시 기업에 한정되지는 않는다. 이는 거래의 신속·대량거래·확일성의 유지라는 관점에서 편리하고 필요한 거래형식이지만, 계약의 자유를 제한하거나 공정한 거래를 침해할 수 있는 측면도 지니고 있기 때문이다. 이러한 이유로 약관에 대한 행정적·사법적 규제의 필요성이 논의되어 왔다. 행정적 규제로서는 약관의 설정·변경에 있어서 주부관청에 의하여 승인·인가를 얻도록 하고 있다. 사법적 규제로서는 재판과정에서 법원에 의하여 약관조항위 효력의 유무를 판단토록 하는 것이다. 약관의 효력을 억제하는 법리로서는 신의칙·공서양속 등 일반조항의 적용이 고려될 수 있으나, 실제로 보통거래약관의 효력을 다툰 판례는 찾아보기 어렵다. 영미·프랑스·독일에서는 판례이론을 기초로 법이론이 형성되어 왔으며, 특히 사업주의 면책조항에 대한 제한적 해석법리(Restriktion)가 수립되기에 이르고 있다. 우리나라에서는 1986년에 '약관의 규제에 관한 법률'을 제정하여 약관의 내용을 통제하고 있다. 보통거래약관의 구속력의 근거에 관하여 자치법설, 상관습설, 계약설 등이 있다. 자치법설은 보통거래약관을 기업이 자주적으로 제정하는 법규로 보는 견해이다. 상관습설은 약관이 존재하는 경우에는 그 약관에 의해 계약이 체결된다는 관습이 있기 때문에 약관이 효력을 가진다는 견해이다. 계약설은 계약당사자인 작성자와 그 상대방의 합의가 약관의 구속력에 대한 근거라는 견해이다. 판례의 견해도 이와 같으며 유력설이다. 약관의 구속력을 당사자의 합의에서 구한다면, 약관이 계약의 내용으로 되어 당사자를 구속하기 위해서는 합의가 구체적으로 어떤 모습으로 이루어져야 하는가라는 이른 바 &quot;계약으로의 편입&quot;이 문제된다. 약관의 내용이 상대방에게 효력을 미치기 위해서는 약관을 이용하는 사업자(작성자)가 약관을 명시 또는 설명하고 상대방이 그 약관에 따라 계약을 체결하는 데 동의한 경우에만 약관은 계약내용에 편입된다. 다만 명시· 설명에 대한 입증책임은 사업자가 부담한다. 그러나 예외적으로 경제적 지위가 동등하여 불공정한 내용의 약관이 작성될 우려가 없는 경우에는 상대방이 계약의 존재를 알고 있는 한 작성자의 명시·설명이 없더라도 약관은 계약내에 편입된다. 또한 당사자들 사이에 약관이 정하는 내용과 다르게 합의한 부분이 있는 경우에는 개별적 약정이 약관에 우선한다. 약관의 적용에 있어서 약관의 해석은 매우 중요하다. 약관은 다수의 상대방과의 계약관계를 정형적으로 처리하기 위한 것이므로 약관의 해석은 거래에 참 여한 일반적 고객의 이익을 고려하여 정상적 계약당사자가 표시하였으리라고 판단되는 의사를 기준으로 이루어져야 한다(해석의 동일성유지). 또한 약관은 그 약관이 적용되는 구체적 사안을 고려하여 신의성실의 원칙에 맞게 해석되어야 한다(신의칙의 고려). 약관의 내용이 불명확한 경우에는 작성자가 그 불명확으로 인한 불이익을 부담한다 (작성자불리원칙). 법률에 규정되어 있는 권리를 제한하는 약관은 좁게 해석되어야 한다(축소해석의 원칙)."
"보통경찰 普通警察"|"경찰기관의 내부에 있어서 직무의 분배에 의하여 경찰을 분류하는 것으로 불란서법에서는 그 보호하고자 하는 사회상의 가치가 고등가치를 가지지 않는, 즉 사상·정치경찰 이외의 경찰을 보통경찰이라고 한다."
"보통보험약관 普通保險約款 [영]  policy conditions [독] allgemeine Versicherungsbedingungen"|"보험자가 미리 작성하는 보험계약의 내용인 약관. 보통계약조관의 하나이다. 보험사 업의 면허신청의 첨부서류이며, 그것에 기재되어야 할 사항도 법정되고 그 내용의 변경도 주무부장관의 인가를 받아야 한다(보험5③3). 그 내용은 보험증권의 후면에 기재되는 것이 보통이다."
"보통선거 普通選擧 [영] universal suffrage [독] allgemeines Wahlrecht"|"재산·납세·교육 또는 신앙 등에 의하여 선거권에 차등을 두지 않는 선거. 제한선거에 대한 개념이다. 민주주의의 발달에 따라 현대에 와서는 모두 보통선거를 원칙으로 한다. 우리 헌법에서도 대통령과 국회의원의 선거에 있어서 명문으로 보통선거에 의할 것을 규정하고 있다(헌67①·41①)."
"보통세 普通稅"|"교육세·교통세·농어촌특별세처럼 세금이 쓰일 용도가 미리 정해져 있는 세금을 목적세라 하고, 그렇지 않은 모든 세금을 보통세라고 한다."
"보통은행 普通銀行"|"은행법에 의하여 규율되는 은행. 기업은행 및 특수은행에 대하여 특히 보통은행이라고 부른다. 보통은행은 한편에 있어서 예금의 수입을 행하고, 다른 한편에 있어서는 대부 또는 어음할인을 하거나 환거래를 하거나 그 어느 것을 영업으로 하며(은2), 담보부사채의 신탁업무 이외에도 신탁업무의 겸영을 할 수 있다. 주무부장관의 면허를 얻어 원칙적으로 소정의 자본금을 가진 주식회사임을 요하며, 상호 중에 은행이란 문자를 사용하여야 한다(은14). 원칙으로 경제상 단기의 상업금융을 목적으로 하는 상업은행이지만 금융채를 발행하여 장기금융을 행하는 것도 인정된다(은31)."
"보통재판적 普通裁判籍 [독]  allgemeiner Gerichtsstant"|"어떤 자가 민사소송 일반에 관하여 특정법원의 재판권에 복종하는 것으로 정해진 장소. 민사소송은 일반적으로 피고의 보통재판적 소재지의 법원의 관할에 속한다(민소1의2). 보통재판적은 사람에 대하여는 주소, 법인, 그 밖의 단체에 대하여는 주된 사무소 또는 영업소에 의하여 정해지는 것이 원칙이다(민소2∼4). 보통재판적에 의한 관할은 특히 다른 법원의 전속관할에 속하는 사건에 관하여는 제외된다(민소28)."
"보통주 普通株 [영] common share, common stock [독] Stammaktie"|"어떤 종류의 주식이 이익배당·건설이자의 배당·잔여재산의 분배에 있어서 다른 종류의 주식보다 특히 우선적 또는 열후적인 지위를 가지는 경우에 있어서(상344) 그 표준이 되는 주식을 말한다. 우선주·후배주·혼합주라는 말에 대한다."
"보통항고 普通抗告 [독] einfache Beschwerde"|"법률이 즉시항고라고 명시하지 않은 항고 및 재항고(민사소송뿐)로서 즉시항고의 성질을 가지지 않는 것. 그 제기에 관하여는 불변기간의 규정이 없으며, 또 집행정지의 효력을 가지지 않는 점이 즉시항고와 다르다(민소414·445)."
"보험 保險 [영] insurance [독] Versicherung"|"동일한 경제적 위험에 있는 많은 사람들이 장래 우연히 생길 사고로 인하여 발생할 재산상의 수요를 만족시키기 위하여 미리 일정액의 보험료를 갹출하여, 공통준비재산을 형성하고 현실로 사고를 당한 자가 재산적 급여(보험금)를 받는 제도. 영업적 상행위의 하나인데(상4617), 상행위가 되는 것은 독립한 보험자가 보험계약자에 대하여 영업으로서 보험을 인수하는 [영리보험]의 경우에 한하며, 보험가입자 그 자체가 구성하는 단체가 보험자가 되는 [상호보험]이나 정부가 주관하는 [국영보험], [사회보험] 등의 [공영보험]은 여기에서 말하는 보험에 속하지 않는다. 우리 상법은 제4편에 보험편을 두고 제1장에 손해보험과 인보험에 공통되는 통칙규정을, 제2장에서 손해보험, 제3장에서 인보험에 관하여 각각 규정하였다. 특히 상법은 최근에 발달한 책임보험에 관하여 손해보험의 일종으로서 8개 조문을 명문화하였고, 또 해상보험에 관한 규정을 손해보험의 1절로 하였다. 상법은 인보험을 생명보험과 상해보험으로 나누고 있으며, 생명보험에는 사람의 생존을 보험사고로 하는 생존보험(교육자금보험·혼자보험 등이 이에 속한다), 사람의 사망을 보험사고로 하는 사망보험, 사람이 일정한 연령에 달하는 것과 그 연령에 달하기 전에 사망하는 것의 양자를 보험사고로 하는 혼합보험, 즉 양로보험(상735) 등이 있다. 그리고 상해보험은 사람의 신체의 상해를 보험사고로 하는 보험이다. 이에 대하여 손해보험은 보험사고가 다종다양하기 때문에 그 종류를 게기할 수 없으나 사회에서 널리 행하여지고 있는 화재보험, 운송보험, 해상보험, 책임보험 등이 그것이다. 손해보험에 있어서는 손해에 따른 액의 보험금이 지급되는(부정액보험)에 대하여 생명보험에 있어서는 반드시 미리 정하여진 일정액이 지급되는(정액보험) 것과 또 전자에서는 주로 물건이 대상으로 되고(물건보험), 후자에서는 사람이 대상으로 되는(인보험) 점에서 다르다. 또 인보험 중에서 생명보험은 어느 경우에나 정액보험이지만 상해보험은 보험사고의 발생으로 인한 상해의 태양에 따라 일정한 보험금을 지급하는 정액보험인 경우와 사람의 신체의 상해에 대한 치료비 기타의 비용을 부담하기로 하는 부정액보험의 경우가 있다."
"보험가액 保險價額 [영] insurable value [독] Versicherungswert"|"피보험이익의 가격. 피보험이익의 결손전보를 목적으로 하는 손해보험에서 이것이 보험자의 전보책임의 최대한을 계정한다. 그 평가는 객관적 기준에 의하여 객관적으로 규정되겠으나, 보험계약자가 보험자와 이를 협정할 때도 있는 바(평가제보험증권), 이 경우 가액은 사고가 발생한 때의 가액으로 정한 것으로 추정하지만, 그 가액이 사고발생시의 가액을 현저하게 초과한 때는 사고발생시의 가액을 보험가액으로 한다(상670). 협정이 없을 때에는 손해가 발생한 때와 곳의 가액에 따르며(상671·676), 운송보험 및 해상보 험에는 특별한 규정이 있다. 보험금액과의 관계에서 일부보험·초과보험·중복보험을 발생시킨다."
"보험계약 保險契約 [영] contract of insurance [독] Versicherungsvertrag"|"보험을 실현시키기 위한 계약. 계약당사자의 일방, 즉 보험자가 상대방인 보험계약자로부터 일정한 보수(보험료)를 받고 계약상 정해진 우연한 사고가 발생하였을 때에 그 손해액을 전보하거나 또는 특정액을 지급하는 것이 그 내용이다. 따라서 유상계약인 동시에 쌍무계약이며 상법 및 보통보험약관에 특별한 규정이 있다. 예외없이 보험증권이 발행되지만 보험계약 그 자체는 낙성계약이다. 상법에서의 보험계약은 보험영업으로 행해지는 것에 한한다(상638의2)."
"보험계약의 목적 保險契約의 目的"|"손해보험계약에 있어서의 피보험이익을 가리킨다. 건물의 소유자가 화재보험을 계약하였을 때에는 소유자로서의 이익이 보험계약의 목적이며(상668), 건물이 보험의 목적이다."
"보험계약자 保險契約者 [독] Versicherungsnehmer"|"보험계약의 당사자로서 보험자에 대하여 보험료지급의 의무를 부담한 자. 계약당사자로서 보험증권의 교부청구권(상640①)·해지권(상650∼654)·보험금청구권(상655)및 보험료반환청구권(상648) 등을 갖고 고지의무·통지의무를 부담하나(상651·657①), 당연히 보험금청구권의 주체는 아니다. 다만 보험자에 대하여 피보험자(손해보험일 경우) 또는 보험금수취인(생명보험일 경우)에 보험금의 지급을 할 것을 청구할 수 있다."
"보험금액의 삭감 保險金額의 削減"|"보험경리의 필요성에서 보험금액을 장래에 향하여 삭감하는 것. 상호보험에서는 보험료와 보험급여와의 균형이 현저히 파괴되는 경우에 대비하여 정관으로써 이에 관한 사항을 규정하는 것이 필요하다. 생명보험에서는 보험계약의 포괄이전의 경우에도 이를 정할 수 있다."
"보험급부 保險給付"|"보험사고에 있어서 보험자가 보험금 수령인에 대하여 하는 급부. 인보험에 있어서는 미리 약정한 금액인 것이 보통이지만 손해보험에 있어서는 피보험이익의 사실상의 결손을 전보할 수 있게끔 평가결정된 보험금리다. 보험계약자의 보험료의 급부에 있어서 쌍무적으로 상대하는 보험자의 의무이다. 또한 사회보장에 있어서 치료급부·매장료·분만비 등을 가리키는 경우도 많다."
"보험기간 保險期間 [영]  time of insurance, duration of risk [독] Versicherungszeit, Versicherun gsdauer"|"보험계약의 유효기간중 보험자의 책임이 존속하는 기간을 말한다(상688·700). 특약이나 관습이 없을 때는 보험계약의 유효기간과 일치하지만 실제상 보통보험약관으로서 특약하는 것이 보통이다(상699). 그리고 보험기간이 여러 보험료기간으로 나누어지는 일도 있다."
"보험단체 保險團體"|"보험의 성질상 보험을 소망하는 자간에 성립하는 단체적인 관계. 상호보험의 경우에는 법인으로서 그 단체성이 법률상 명확하다. 영리보험의 경우에는 법률적으로는 보험자의 피보험자와의 계약관계지만 사회적·경제적으로는 보험자를 매개로 하여 하나의 단체가 성립한다. 현행 상법은 전혀 이러한 관계를 고려에 넣지 않고 있으나 해석상 이것을 고려에 넣는 경우도 있다(고지의무). 또 보험업법은 보험계약의 포괄이전의 경우에 보험계약자의 이익보호를 단체적으로 처리하고 있다."
"보험대위 保險代位"|"손해보험에 있어서 보험자가 손해의 전보를 했을 때, 피보험자가 보험의 목적에 관하여 가진 권리 및 피보험자가 제3자에 대하여 가진 권리를 법률상 당연히 취득하는 것(상681·682). 손해보험은 피보험이익의 결손의 전보를 목적으로 하는 것이므로 피보험자의 이중이득을 방지하기 위하여 인정되며, 민법상 대위제도와 같은 정신에 입각하고 있다. 제3자에 대하여 가진 권리에는 불법행위에 의한 것 외에 채무불이행에 의한 것을 포함하고, 제3자의 행위에 의하여 그 제3자에 대하여 취득한 권리에 한하지 않으며, 따라서 공동해손의 분담액청구권도 포함된다."
"보험료 保險料 [영] premium [독] Pr mie"|"보험계약에 있어 보험자가 보험을 인수하는 것에 대하여 보험계약자가 지급하는 보수. 이것을 영업보험이라고 한다. 보험금액을 기준으로 하고, 또 위험률에 따라서 정해지며, 그 위험의 측정은 보험기간을 표준으로 한다. 일시의 전불로써 지급하는 방법(생명보험에 많음)이 있다. 특정한 경우에는 장래에 향하여 보험료의 감액을 청구할 수 있으며(상647), 계약이 무효인 경우에는 경우에 따라서 그 전부 또는 일부의 반환을 요구할 수 있다(상648·662). 그리고 사회보험에서는 특별한 기준으로 가입자로부터 보험료가 징수된다."
"보험료불가분의 원칙 保險料不可分의 原則 [독]  Unteilbarkeit der Pr mie"|"보험료기간의 보험료가 불가분이라는 원칙. 보험료기간을 하나의 단위로 하여 위험을 측정하고 보험료가 정해지므로 그 기간의 위험에 따라서 보험료도 불가분한 것이라 한다. 그러므로 기간의 중도에서 계약이 끝나도 특약이 없는 한, 그 기간의 보험료는 보험자가 취득한다."
"보험사고 保險事故"|"보험이 행해지는 우연한 사고. 손해보험에서는 위험이라고 한다. 우연성은 사고가 발생하느냐의 여부, 언제 발생하느냐, 어떻게 발생하느냐 등 그 어느 것에 있어서나 확정하지 않으면 안된다. 또 불확정성은 당사자의 주관에 있어서 불확정하면 족하지만(상664), 보통보험약관에서는 이것을 제외하고 있다. 보험계약에서는 계약상 예정된 보험사고만이 보험자의 책임대상이며, 여러 종류의 보험을 발생케 한다(화재보험·운송보험·생명보험)."
"보험상 위험 保險上 危險"|"손해보험에서 보험사고를 일반적으로 위험이라고 부른다. 그러나 추상적 또는 구체적인 사고발생의 가능성을 의미하기도 한다. 예컨대 위험의 증가·변경 등의 의미와 같다."
"보험약관 保險約款 [영]  policy conditions [독] Versicherungsbedingungen"|"보험계약의 약정조관. 여러 계약체결의 편의를 위하여 보통보험약관의 형식을 채용하는 것이 일반적이다."
"보험위부 保險委付 [영] abandonment [독] Abandon"|"해상보험의 피보험자가 보험의 목적에 관하여 가지는 일체의 권리를 보험자에게 위임하고 보험금액의 전부를 청구하는 권리를 취득하는 것. 일반적인 의사표시로서 권리를 이전시키는 점에서 선주의 책임제한으로서의 면책위부와 같으나, 이와 구별하기 위하여 특히 보험위부라고 한다. 선박이 행방불명인 경우는 아직 손해의 발생이 확정되어 있지 않으나 보험상 전손과 다름없으므로 그 선박을 위부하여 보험자에게 취득시키고, 그 간접적인 법정효과로서 보험금 전액의 청구권을 취득한다(상718). 상법은 이 밖에 위부를 할 수 있는 경우 및 그 절차를 규정하고 있다(상716·717)."
"보험의 목적 保險의 目的"|"그것에 관하여 보험이 행해지는 경제상의 재화 또는 자연인. 화재보험에 있어서는 건물이지만 생명보험에 있어서는 피보험자가 이에 해당한다. 보험계약의 목적은 피보험이익이므로 피보험이익의 대상인 사물 그 자체를 가리키는 보험의 목적과는 다르다. 손해보험에서 보험의 목적을 양도했을 때에는 보험계약상의 권리도 양도한 것으로 추정된다(상679)."
"보험자 保險者 [영] insurer [독]  Versicher"|"보험계약의 당사자로서 보험사고가 발생하였을 경우, 손해의 전보(손해보험일 경우) 또는 특정액의 지급(생명보험일 경우)을 할 것을 인수하는 자. 이 인수한 주된 의무 외에 보험증권교부의무(상640·642), 특정한 경우에 있어서의 보험료반환의무(상648) 등을 부담하며 보험료의 청구권(상658)을 가진다. 영리보험에서 보험자가 될 수 있는 것은 주식회사에 한한다. 그리고 사회보험에 있어서 보험을 인수하는 자도 보험자라고 한다."
"보험증권 保險證券 [영] policy [독] Versicherungsschein, Police"|"보험계약이 성립한 후에 그것을 증명하기 위하여 보험계약자의 청구에 의하여 보험자가 발행하는 증권(상640). 보험자가 기명날인 또는 서명하여 보험계약이 성립한 것을 명백히 하는 것이다. 법률상은 보험계약이 성립한 후에 보험계약자의 청구에 의하여 발행하게 되어 있으나 실제상은 청구를 기다리지 않고 발행된다. 보험증권의 발행은 보험계약 당사자쌍방의 편의를 위한 것이지 계약의 성립요건도 아니고 또 보험자만이 기명날인 또는 서명하는 것이므로 계약서도 아니다. 그러나 보험증권은 보험계약에 관한 중요한 증거방법의 하나로서 계약내용에 관하여 사실상의 추정을 받는다. 따라서 진정한 보험계약이 보험증권과 틀리는 경우에 보험계약자가 보험증권의 내용을 주장하거나 보험계약의 내용을 주장한 때에는 보험자가 반증을 들어야 한다. 그러므로 상법은 보험기업운영의 확실을 기하는 것과 계약자 보호를 조화시키기 위하여 제641조에서 [보험계약의 당사자는 보험증권의 교부가 있은 날로부터 1개월 이상으로 정한 기간 내에 한하여 그 증권내용의 정부(正否)에 관한 이의를 할 수 있음을 약정할 수 있다]는 규정을 두고 있다. 보험증권에는 다음의 사항을 기재하고 보험자가 기명날인 또는 서명하여야 한다 (상666). (1)보험의 목적 (2)보험사고의 성질 (3)보험금액 (4)보험료와 그 지급방법 (5)보험기간을 정한 때에는 그 시기와 종기 (6)무효와 실효의 사유 (7)보험계약자의 주소와 성명 또는 상호 (8)보험계약의 연월일 (9)보험증권의 작성지와 그 작성연월일. 이상의 기재사항은 모든 보험증권에 공통되는 필요적 기재사항이며, 이 밖에 화재보험증권에는 제685조, 운송보험증권에는 제690조, 해상보험증권에는 제695조와 인보험증권에는 제 728조·제738조에 각각 보험종류에 따른 기재사항이 규정되어 있다. 그러나 이러한 법정기재사항을 구비하는 것은 보험증권의 효력발생요건이 아니므로 이를 결하여도 보험증권으로서의 효력에는 영향이 없고, 다만 그것으로 인하여 보험계약자에게 손해가 발생한 때에는 이것을 배상할 책임을 부담할 뿐이다. 또 보험증권의 이면에는 보통보험계약약관이 인쇄되어 있는 경우가 많고, 따라서 보험계약자는 이것에 의하여 계약의 세목을 알 수 있다. 또 보험증권이 유가증권인지 아닌지에 관하여는 논의가 있다. 보험증권은 보험계약의 성립을 증명하기 위한 증거증권이고, 또 보험증권이 지시식 또는 무기명식인 경우에도 보험자에게는 보험금지급에 관한 면책증권에 불과하지 유가증권이 아니라고 하는 것이 통설이다. 그러나 최근의 학설은 보험금청구권의 양도 기타의 처분을 용이하게 하는 목적, 즉 보험금청구권의 유통확보의 목적하에 발행된 보험증권은 유가증권이라고 한다. 실제에 있어서도 보험증권 중 특히 적하해상보험증권이나 운송보험증권 등은 지시식 또는 무기명식으로 발행되고, 그 유가증권성을 인정하는 학설이 유력하다."
"보험회사 保險會社"|"보험사업을 경영하는 회사. 다만, 보험회사라는 용어는 보험영업을 영위하는 주식회사 외에 법률상으로는 회사가 아닌 상호회사를 포함한다. 상호 및 명칭 가운데 그 영위하는 주된 보험사업의 종류를 명시해야 하며, 원칙적으로는 다른 사업의 겸영 및 생명보험과 손해보험과의 겸영은 인정되지 않는다."
"보호 保護"|"정신착란 또는 주취로 인하여 자기 또는 타인에게 위해를 미칠 우려가 있는 자 또는 미아·환자·부상자 등으로 응급한 구호를 요하는 자를 경찰관이 경찰서·병원 등 적당한 장소에 일시보호하는 것. 종전에도 여러 가지 보호검사제도가 있었으나 그 남용에 비추어 경찰관직무집행법은 엄중한 요건을 정하고, 신속하게 가족 또는 친지에게 인수통지 또는 수배하거나 혹은 적당한 다른 기관에 인계해야 한다. 경찰의 보호는 24시간을, 임시가영치의 경우는 10일을 초과하지 못한다(경직4⑦)."
"보호관찰 保護觀察 [영] probation [독] Schutzaufsicht"|"범죄인을 교도소 기타의 시설에 수용하지 않고 자유로이 사회생활을 하게 하면서 일정한 준수사항을 명하고 이를 준수하도록 지 도하며, 필요한 때에는 원호를 하여 범죄인을 개선·갱생시키기 위한 처분이다. 형의 선고유예나 집행유예중에 있는 자에 대해서는 보호관찰을 할 필요가 있다. 이와 같이 수용처분없이 처음부터 보호관찰을 행하는 경우를 프로베이션(Probation)이라 한다. 또 가석방을 허가한 자에 대하여 보호관찰을 행하는 경우도 있는데 이와 같이 일단 수용처분을 받았던 자가 가석방되어 보호관찰을 받는 경우를 파롤(Parole)이라 한다. 또 프로베이션은 비행소년에 대한 보호처분의 일종으로서도 행해지고 있다. 소년법에는 심리의 결과 보호처분의 필요가 있다고 인정한 때에는 보호자·적당한 자·소년보호단체·사원·교회의 감호에 위탁하거나 감화원·소년원에 송치할 수 있고, 또 보호관찰에 부할 수도 있으며(소32), 소년부판사는 소년의 보호자 또는 수탁자에 대하여 소년감호에 관한 필요사항을 지시하고, 언제든지 조사관으로 하여금 그 감호상황을 관찰보고하게 할 수 있도록 하였다(소36)."
"보호처분 保護處分"|"지방법원 소년부가 심리의 결과 필요가 있다고 인정한 때에 결정으로써 소년에 대하여 언도하는 처분(소32). 보안처분 중의 하나로서 형이 아니다. 그 종류에는 보호자 또는 보호자를 대신하여 소년을 보호할 수 있는 자에게 감호를 위탁하는 것, 보호관찰관의 단기보호관찰을 받게 하는 것, 보호관찰관의 보호관찰을 받게 하는 것, 아동복지법상의 아동복지시설 기타 소년보호시설에 감호를 위탁하는 것, 병원, 요양소에 위탁하는 것, 단기로 소년원에 송치하는 것, 소년원에 송치하는 것 등 7종류가 있다."
"보호형주의 保護刑主義"|"형벌의 목적은 범인을 처벌함으로써 장래의 범죄를 예방하고, 범죄로부터 사회를 보호함에 있다는 주의. 범죄를 개선가능과 불가능으로 나누어 개선이 가능한 자는 교육·개선하는 방향으로, 불가능한 자는 사회에서 배제하는 방향으로, 즉 확신범은 생명형을 과한다는 리스트의 이론이다."
"복구 復仇 [영] reprisals [독] Repressalien"|"상대국의 국제불법행위의 중지를 요구하기 위하여 그와 같은 정도의 강력행위를 가해국에 대하여 가하는 것을 말한다. 종래 이런 경우에는 위법성은 조각되는 것이라고 해석되고 있었지만 국련헌장상으로는 무력행사를 수반하는 복구는 불법이라고 해석되고 있다. 상대방의 불법행위라고 까지는 할 수 없는 우의·예양에 반하는 행위에 대하여 같은 정도의 행위로 대하는 것을 [보복]이라고 하는데 이는 복구와 엄연히 구별된다."
"복대리 復代理"|"복대리란 대리인이 그의 권한 내의 행위를 행하기 위하여 대리인 자신의 이름으로 선임한 본인의 대리인이다. 복대리인을 선임할 수 있는 권리를 복임권이라 한다."
